"Notes"	"State"	"State Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"1999"	"1999"	"Jan., 1999"	"1999/01"	24	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"1999"	"1999"	"Feb., 1999"	"1999/02"	18	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"1999"	"1999"	"Mar., 1999"	"1999/03"	19	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"1999"	"1999"	"Apr., 1999"	"1999/04"	28	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"1999"	"1999"	"May, 1999"	"1999/05"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"1999"	"1999"	"Jun., 1999"	"1999/06"	20	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"1999"	"1999"	"Jul., 1999"	"1999/07"	28	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"1999"	"1999"	"Aug., 1999"	"1999/08"	28	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"1999"	"1999"	"Oct., 1999"	"1999/10"	17	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"1999"	"1999"	"Nov., 1999"	"1999/11"	23	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"1999"	"1999"	"Dec., 1999"	"1999/12"	22	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2000"	"2000"	"Jan., 2000"	"2000/01"	16	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2000"	"2000"	"Feb., 2000"	"2000/02"	18	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2000"	"2000"	"Mar., 2000"	"2000/03"	20	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2000"	"2000"	"Apr., 2000"	"2000/04"	15	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2000"	"2000"	"May, 2000"	"2000/05"	27	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2000"	"2000"	"Jun., 2000"	"2000/06"	26	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2000"	"2000"	"Jul., 2000"	"2000/07"	25	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2000"	"2000"	"Aug., 2000"	"2000/08"	24	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2000"	"2000"	"Sep., 2000"	"2000/09"	17	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2000"	"2000"	"Oct., 2000"	"2000/10"	21	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2000"	"2000"	"Nov., 2000"	"2000/11"	14	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2000"	"2000"	"Dec., 2000"	"2000/12"	28	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2001"	"2001"	"Jan., 2001"	"2001/01"	19	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2001"	"2001"	"Feb., 2001"	"2001/02"	19	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2001"	"2001"	"Mar., 2001"	"2001/03"	16	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2001"	"2001"	"Apr., 2001"	"2001/04"	21	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2001"	"2001"	"May, 2001"	"2001/05"	23	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2001"	"2001"	"Jun., 2001"	"2001/06"	24	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2001"	"2001"	"Jul., 2001"	"2001/07"	24	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2001"	"2001"	"Aug., 2001"	"2001/08"	24	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2001"	"2001"	"Sep., 2001"	"2001/09"	16	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2001"	"2001"	"Oct., 2001"	"2001/10"	24	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2001"	"2001"	"Nov., 2001"	"2001/11"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2001"	"2001"	"Dec., 2001"	"2001/12"	18	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2002"	"2002"	"Jan., 2002"	"2002/01"	24	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2002"	"2002"	"Feb., 2002"	"2002/02"	20	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2002"	"2002"	"Mar., 2002"	"2002/03"	32	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2002"	"2002"	"Apr., 2002"	"2002/04"	17	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2002"	"2002"	"May, 2002"	"2002/05"	18	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2002"	"2002"	"Jun., 2002"	"2002/06"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2002"	"2002"	"Jul., 2002"	"2002/07"	17	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2002"	"2002"	"Aug., 2002"	"2002/08"	22	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2002"	"2002"	"Sep., 2002"	"2002/09"	19	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2002"	"2002"	"Oct., 2002"	"2002/10"	21	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2002"	"2002"	"Nov., 2002"	"2002/11"	21	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2002"	"2002"	"Dec., 2002"	"2002/12"	20	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"1999"	"1999"	"Jan., 1999"	"1999/01"	26	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"1999"	"1999"	"Feb., 1999"	"1999/02"	25	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"1999"	"1999"	"Mar., 1999"	"1999/03"	28	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"1999"	"1999"	"Apr., 1999"	"1999/04"	29	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"1999"	"1999"	"May, 1999"	"1999/05"	29	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"1999"	"1999"	"Jun., 1999"	"1999/06"	24	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"1999"	"1999"	"Jul., 1999"	"1999/07"	33	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"1999"	"1999"	"Aug., 1999"	"1999/08"	35	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"1999"	"1999"	"Sep., 1999"	"1999/09"	32	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"1999"	"1999"	"Oct., 1999"	"1999/10"	25	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"1999"	"1999"	"Nov., 1999"	"1999/11"	38	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"1999"	"1999"	"Dec., 1999"	"1999/12"	36	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2000"	"2000"	"Jan., 2000"	"2000/01"	20	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2000"	"2000"	"Feb., 2000"	"2000/02"	19	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2000"	"2000"	"Mar., 2000"	"2000/03"	37	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2000"	"2000"	"Apr., 2000"	"2000/04"	26	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2000"	"2000"	"May, 2000"	"2000/05"	21	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2000"	"2000"	"Jun., 2000"	"2000/06"	34	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2000"	"2000"	"Jul., 2000"	"2000/07"	24	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2000"	"2000"	"Aug., 2000"	"2000/08"	24	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2000"	"2000"	"Sep., 2000"	"2000/09"	36	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2000"	"2000"	"Oct., 2000"	"2000/10"	46	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2000"	"2000"	"Nov., 2000"	"2000/11"	29	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2000"	"2000"	"Dec., 2000"	"2000/12"	29	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2001"	"2001"	"Jan., 2001"	"2001/01"	23	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2001"	"2001"	"Feb., 2001"	"2001/02"	36	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2001"	"2001"	"Mar., 2001"	"2001/03"	30	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2001"	"2001"	"Apr., 2001"	"2001/04"	27	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2001"	"2001"	"May, 2001"	"2001/05"	26	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2001"	"2001"	"Jun., 2001"	"2001/06"	23	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2001"	"2001"	"Jul., 2001"	"2001/07"	24	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2001"	"2001"	"Aug., 2001"	"2001/08"	27	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2001"	"2001"	"Sep., 2001"	"2001/09"	25	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2001"	"2001"	"Oct., 2001"	"2001/10"	32	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2001"	"2001"	"Nov., 2001"	"2001/11"	31	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2001"	"2001"	"Dec., 2001"	"2001/12"	25	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2002"	"2002"	"Jan., 2002"	"2002/01"	29	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2002"	"2002"	"Feb., 2002"	"2002/02"	29	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2002"	"2002"	"Mar., 2002"	"2002/03"	20	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2002"	"2002"	"Apr., 2002"	"2002/04"	22	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2002"	"2002"	"May, 2002"	"2002/05"	30	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2002"	"2002"	"Jun., 2002"	"2002/06"	20	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2002"	"2002"	"Jul., 2002"	"2002/07"	17	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2002"	"2002"	"Aug., 2002"	"2002/08"	19	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2002"	"2002"	"Sep., 2002"	"2002/09"	25	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2002"	"2002"	"Oct., 2002"	"2002/10"	29	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2002"	"2002"	"Nov., 2002"	"2002/11"	32	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2002"	"2002"	"Dec., 2002"	"2002/12"	24	Not Applicable	Not Applicable
	"Alabama"	"01"	"1-4 years"	"1-4"	"Female"	"F"	"1999"	"1999"	"Mar., 1999"	"1999/03"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"1-4 years"	"1-4"	"Male"	"M"	"1999"	"1999"	"Mar., 1999"	"1999/03"	10	Not Applicable	Not Applicable
