"Notes"	"Residence State"	"Residence State Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2021"	"2021"	"Jan., 2021"	"2021/01"	21	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2021"	"2021"	"Feb., 2021"	"2021/02"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2021"	"2021"	"Mar., 2021"	"2021/03"	19	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2021"	"2021"	"Apr., 2021"	"2021/04"	17	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2021"	"2021"	"May, 2021"	"2021/05"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2021"	"2021"	"Jun., 2021"	"2021/06"	15	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2021"	"2021"	"Jul., 2021"	"2021/07"	19	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2021"	"2021"	"Aug., 2021"	"2021/08"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2021"	"2021"	"Sep., 2021"	"2021/09"	21	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2021"	"2021"	"Oct., 2021"	"2021/10"	15	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2021"	"2021"	"Nov., 2021"	"2021/11"	14	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2021"	"2021"	"Dec., 2021"	"2021/12"	14	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2022 (provisional)"	"2022"	"Jan., 2022 (provisional)"	"2022/01"	14	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2022 (provisional)"	"2022"	"Feb., 2022 (provisional)"	"2022/02"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2022 (provisional)"	"2022"	"Mar., 2022 (provisional)"	"2022/03"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2022 (provisional)"	"2022"	"Apr., 2022 (provisional)"	"2022/04"	18	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2022 (provisional)"	"2022"	"May, 2022 (provisional)"	"2022/05"	16	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2022 (provisional)"	"2022"	"Jun., 2022 (provisional)"	"2022/06"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2022 (provisional)"	"2022"	"Jul., 2022 (provisional)"	"2022/07"	14	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2022 (provisional)"	"2022"	"Aug., 2022 (provisional)"	"2022/08"	18	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2022 (provisional)"	"2022"	"Sep., 2022 (provisional)"	"2022/09"	23	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2022 (provisional)"	"2022"	"Oct., 2022 (provisional)"	"2022/10"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2022 (provisional)"	"2022"	"Nov., 2022 (provisional)"	"2022/11"	14	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2022 (provisional)"	"2022"	"Dec., 2022 (provisional)"	"2022/12"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2023 (provisional and partial)"	"2023"	"Jan., 2023 (provisional)"	"2023/01"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2023 (provisional and partial)"	"2023"	"Feb., 2023 (provisional)"	"2023/02"	13	Not Applicable	Not Applicable
