analysis_id,region,jurisdiction,age_group,sex,included,exclusion_reason,data_start,data_end,n_observations,missing_or_suppressed
us__us-non-sex__alabama__20-39__total,us_non_sex,Alabama,20-39,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__alabama__40-59__total,us_non_sex,Alabama,40-59,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__alabama__60-79__total,us_non_sex,Alabama,60-79,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__alabama__ge80__total,us_non_sex,Alabama,GE80,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__alaska__20-39__total,us_non_sex,Alaska,20-39,total,TRUE,,1999-02-28,2023-08-31,160,136
us__us-non-sex__alaska__40-59__total,us_non_sex,Alaska,40-59,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__alaska__60-79__total,us_non_sex,Alaska,60-79,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__alaska__ge80__total,us_non_sex,Alaska,GE80,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__arizona__20-39__total,us_non_sex,Arizona,20-39,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__arizona__40-59__total,us_non_sex,Arizona,40-59,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__arizona__60-79__total,us_non_sex,Arizona,60-79,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__arizona__ge80__total,us_non_sex,Arizona,GE80,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__arkansas__20-39__total,us_non_sex,Arkansas,20-39,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__arkansas__40-59__total,us_non_sex,Arkansas,40-59,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__arkansas__60-79__total,us_non_sex,Arkansas,60-79,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__arkansas__ge80__total,us_non_sex,Arkansas,GE80,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__california__20-39__total,us_non_sex,California,20-39,total,TRUE,,1999-01-31,2023-08-31,296,0
