dataset_id,region,provider,frequency,geography,count_definition,local_snapshot,provider_identifier,source_url,access_script,license_or_terms,reproduction_role
eurostat_weekly,europe,Eurostat,weekly,country,deaths,data/raw/eurostat/demo_r_mwk_20_linear.csv,DEMO_R_MWK_20,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/demo_r_mwk_20,scripts/data_access/download_eurostat.R,Eurostat reuse policy,canonical_snapshot
cdc_wonder_sex,united_states,CDC WONDER,monthly,state,residence_state_all_cause_deaths,data/raw/cdc_wonder/sex_stratified,Multiple Cause of Death 1999-2020 and provisional mortality,https://wonder.cdc.gov/mcd.html,scripts/data_access/download_cdc_wonder.R,CDC WONDER data-use terms,canonical_export_set
cdc_wonder_non_sex,united_states,CDC WONDER,monthly,state,residence_state_all_cause_deaths,data/raw/cdc_wonder/non_sex_stratified,Multiple Cause of Death 1999-2020 and provisional mortality,https://wonder.cdc.gov/mcd.html,scripts/data_access/download_cdc_wonder.R,CDC WONDER data-use terms,canonical_export_set
statcan_weekly,canada,Statistics Canada,weekly,province_or_territory,place_of_occurrence_deaths,data/raw/statcan/13100768.csv,13-10-0768-01,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1310076801,scripts/data_access/download_statcan.R,Statistics Canada Open Licence,canonical_snapshot
ons_occurrence_1981_2020,england_wales,Office for National Statistics,daily,England and Wales,occurrence_deaths_among_usual_residents,data/raw/ons/daily_deaths_occurrences_1981_2020.xlsx,ONS reference 14173,https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/adhocs/14173dailydeathsoccurrencesenglandandwales1981and2020,scripts/data_access/download_ons.R,Open Government Licence v3.0,canonical_snapshot
ons_registration_2021,england_wales,Office for National Statistics,weekly,England and Wales,registered_deaths_including_non_residents,data/raw/ons/weekly_deaths_2021_week52.xlsx,2021 week 52 edition,https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/datasets/weeklyprovisionalfiguresondeathsregisteredinenglandandwales/2021,scripts/data_access/download_ons.R,Open Government Licence v3.0,canonical_snapshot
ons_registration_2022,england_wales,Office for National Statistics,weekly,England and Wales,registered_deaths_including_non_residents,data/raw/ons/weekly_deaths_2022_week52.xlsx,2022 week 52 edition,https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/datasets/weeklyprovisionalfiguresondeathsregisteredinenglandandwales/2022,scripts/data_access/download_ons.R,Open Government Licence v3.0,canonical_snapshot
ons_registration_2023,england_wales,Office for National Statistics,weekly,England and Wales,registered_deaths_including_non_residents,data/raw/ons/weekly_deaths_2023_week35.xlsx,2023 v37 week 35 edition,https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/datasets/weeklyprovisionalfiguresondeathsregisteredinenglandandwales/2023,scripts/data_access/download_ons.R,Open Government Licence v3.0,canonical_snapshot
cso_quarterly,ireland,Central Statistics Office Ireland,quarterly,Ireland,registered_deaths,data/raw/cso/ireland_quarterly_deaths.csv,VSQ20,https://data.cso.ie/table/VSQ20,scripts/data_access/download_cso.R,CSO PxStat open-data terms,canonical_snapshot
owid_europe_vaccination,europe,Our World in Data,daily,country,people_vaccinated_per_hundred,data/raw/owid/europe_vaccination_snapshot.rda,archived COVID-19 vaccination extract,https://github.com/owid/covid-19-data/tree/master/public/data/vaccinations,scripts/data_access/download_owid.R,CC BY,provider_derived_snapshot
owid_us_state_vaccination,united_states,Our World in Data,daily,state,people_vaccinated_per_hundred,data/raw/owid/us_state_vaccination_snapshot.rda,us_state_vaccinations.csv,https://github.com/owid/covid-19-data/blob/master/public/data/vaccinations/us_state_vaccinations.csv,scripts/data_access/download_owid.R,CC BY,provider_derived_snapshot
us_census_boundary,united_states,United States Census Bureau,static,state,state_boundary,data/raw/us_census/cb_2018_us_state_500k.zip,GENZ2018 cb_2018_us_state_500k,https://www2.census.gov/geo/tiger/GENZ2018/shp/cb_2018_us_state_500k.zip,scripts/data_access/download_us_census.R,United States government public data,canonical_snapshot
