"Notes"	"State"	"State Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2015"	"2015"	"Jan., 2015"	"2015/01"	17	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2015"	"2015"	"Feb., 2015"	"2015/02"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2015"	"2015"	"Mar., 2015"	"2015/03"	15	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2015"	"2015"	"Apr., 2015"	"2015/04"	22	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2015"	"2015"	"May, 2015"	"2015/05"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2015"	"2015"	"Jun., 2015"	"2015/06"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2015"	"2015"	"Jul., 2015"	"2015/07"	20	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2015"	"2015"	"Aug., 2015"	"2015/08"	28	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2015"	"2015"	"Sep., 2015"	"2015/09"	21	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2015"	"2015"	"Oct., 2015"	"2015/10"	17	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2015"	"2015"	"Nov., 2015"	"2015/11"	17	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2015"	"2015"	"Dec., 2015"	"2015/12"	22	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2016"	"2016"	"Jan., 2016"	"2016/01"	25	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2016"	"2016"	"Feb., 2016"	"2016/02"	20	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2016"	"2016"	"Mar., 2016"	"2016/03"	20	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2016"	"2016"	"Apr., 2016"	"2016/04"	26	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2016"	"2016"	"May, 2016"	"2016/05"	22	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2016"	"2016"	"Jun., 2016"	"2016/06"	18	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2016"	"2016"	"Jul., 2016"	"2016/07"	14	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2016"	"2016"	"Aug., 2016"	"2016/08"	16	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2016"	"2016"	"Sep., 2016"	"2016/09"	17	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2016"	"2016"	"Oct., 2016"	"2016/10"	20	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2016"	"2016"	"Nov., 2016"	"2016/11"	23	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2016"	"2016"	"Dec., 2016"	"2016/12"	21	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2017"	"2017"	"Jan., 2017"	"2017/01"	17	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2017"	"2017"	"Feb., 2017"	"2017/02"	20	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2017"	"2017"	"Mar., 2017"	"2017/03"	16	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2017"	"2017"	"Apr., 2017"	"2017/04"	14	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2017"	"2017"	"May, 2017"	"2017/05"	21	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2017"	"2017"	"Jun., 2017"	"2017/06"	20	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2017"	"2017"	"Aug., 2017"	"2017/08"	17	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2017"	"2017"	"Sep., 2017"	"2017/09"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2017"	"2017"	"Oct., 2017"	"2017/10"	15	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2017"	"2017"	"Nov., 2017"	"2017/11"	15	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2017"	"2017"	"Dec., 2017"	"2017/12"	21	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2018"	"2018"	"Jan., 2018"	"2018/01"	17	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2018"	"2018"	"Feb., 2018"	"2018/02"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2018"	"2018"	"Mar., 2018"	"2018/03"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2018"	"2018"	"Apr., 2018"	"2018/04"	14	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2018"	"2018"	"May, 2018"	"2018/05"	16	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2018"	"2018"	"Jul., 2018"	"2018/07"	18	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2018"	"2018"	"Aug., 2018"	"2018/08"	15	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2018"	"2018"	"Sep., 2018"	"2018/09"	17	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2018"	"2018"	"Oct., 2018"	"2018/10"	15	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2018"	"2018"	"Nov., 2018"	"2018/11"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2018"	"2018"	"Dec., 2018"	"2018/12"	14	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2015"	"2015"	"Jan., 2015"	"2015/01"	23	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2015"	"2015"	"Feb., 2015"	"2015/02"	23	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2015"	"2015"	"Mar., 2015"	"2015/03"	26	Not Applicable	Not Applicable
