"STATISTIC Label","Quarter","Age Group","ICD 10 Diagnostic Group","UNIT","VALUE"
"Deaths Registered","2010Q1","Under 1 year","Total deaths (A00-Y89)","Number","62"
"Deaths Registered","2010Q1","1 - 4 years","Total deaths (A00-Y89)","Number","13"
"Deaths Registered","2010Q1","5 - 14 years","Total deaths (A00-Y89)","Number","15"
"Deaths Registered","2010Q1","15 - 24 years","Total deaths (A00-Y89)","Number","54"
"Deaths Registered","2010Q1","25 - 34 years","Total deaths (A00-Y89)","Number","112"
"Deaths Registered","2010Q1","35 - 44 years","Total deaths (A00-Y89)","Number","175"
"Deaths Registered","2010Q1","45 - 54 years","Total deaths (A00-Y89)","Number","373"
"Deaths Registered","2010Q1","55 - 64 years","Total deaths (A00-Y89)","Number","783"
"Deaths Registered","2010Q1","65 - 74 years","Total deaths (A00-Y89)","Number","1343"
"Deaths Registered","2010Q1","75 - 84 years","Total deaths (A00-Y89)","Number","2503"
"Deaths Registered","2010Q1","85 years and over","Total deaths (A00-Y89)","Number","2573"
"Deaths Registered","2010Q1","All ages","Total deaths (A00-Y89)","Number","8006"
"Deaths Registered","2010Q2","Under 1 year","Total deaths (A00-Y89)","Number","84"
"Deaths Registered","2010Q2","1 - 4 years","Total deaths (A00-Y89)","Number","16"
"Deaths Registered","2010Q2","5 - 14 years","Total deaths (A00-Y89)","Number","12"
"Deaths Registered","2010Q2","15 - 24 years","Total deaths (A00-Y89)","Number","75"
"Deaths Registered","2010Q2","25 - 34 years","Total deaths (A00-Y89)","Number","108"
"Deaths Registered","2010Q2","35 - 44 years","Total deaths (A00-Y89)","Number","181"
"Deaths Registered","2010Q2","45 - 54 years","Total deaths (A00-Y89)","Number","372"
"Deaths Registered","2010Q2","55 - 64 years","Total deaths (A00-Y89)","Number","737"
"Deaths Registered","2010Q2","65 - 74 years","Total deaths (A00-Y89)","Number","1221"
"Deaths Registered","2010Q2","75 - 84 years","Total deaths (A00-Y89)","Number","2111"
"Deaths Registered","2010Q2","85 years and over","Total deaths (A00-Y89)","Number","2012"
"Deaths Registered","2010Q2","All ages","Total deaths (A00-Y89)","Number","6929"
"Deaths Registered","2010Q3","Under 1 year","Total deaths (A00-Y89)","Number","71"
"Deaths Registered","2010Q3","1 - 4 years","Total deaths (A00-Y89)","Number","6"
