"analysis_id","analysis_family","region","geography","geography_label","map_id","age_group","sex","frequency","analysis_end","source_root","model_path","observed_source_id","source_kind","status","error_message"
"europe__europe__am__20-39__female","europe","europe","AM","Armenia","AM","20-39","female","weekly",,"project","output/results/europe_corrected_psd_prior_20260830/fitted_model/AM_Y20-39_F.rda","eurostat_weekly","corrected_compact_prediction","available",
"europe__europe__am__20-39__male","europe","europe","AM","Armenia","AM","20-39","male","weekly",,"project","output/results/europe_corrected_psd_prior_20260830/fitted_model/AM_Y20-39_M.rda","eurostat_weekly","corrected_compact_prediction","available",
"europe__europe__am__20-39__total","europe","europe","AM","Armenia","AM","20-39","total","weekly",,"project","output/results/europe_corrected_psd_prior_20260830/fitted_model/AM_Y20-39_T.rda","eurostat_weekly","corrected_compact_prediction","available",
"europe__europe__am__40-59__female","europe","europe","AM","Armenia","AM","40-59","female","weekly",,"project","output/results/europe_corrected_psd_prior_20260830/fitted_model/AM_Y40-59_F.rda","eurostat_weekly","corrected_compact_prediction","available",
"europe__europe__am__40-59__male","europe","europe","AM","Armenia","AM","40-59","male","weekly",,"project","output/results/europe_corrected_psd_prior_20260830/fitted_model/AM_Y40-59_M.rda","eurostat_weekly","corrected_compact_prediction","available",
"europe__europe__am__40-59__total","europe","europe","AM","Armenia","AM","40-59","total","weekly",,"project","output/results/europe_corrected_psd_prior_20260830/fitted_model/AM_Y40-59_T.rda","eurostat_weekly","corrected_compact_prediction","available",
"europe__europe__am__60-79__female","europe","europe","AM","Armenia","AM","60-79","female","weekly",,"project","output/results/europe_corrected_psd_prior_20260830/fitted_model/AM_Y60-79_F.rda","eurostat_weekly","corrected_compact_prediction","available",
"europe__europe__am__60-79__male","europe","europe","AM","Armenia","AM","60-79","male","weekly",,"project","output/results/europe_corrected_psd_prior_20260830/fitted_model/AM_Y60-79_M.rda","eurostat_weekly","corrected_compact_prediction","available",
"europe__europe__am__60-79__total","europe","europe","AM","Armenia","AM","60-79","total","weekly",,"project","output/results/europe_corrected_psd_prior_20260830/fitted_model/AM_Y60-79_T.rda","eurostat_weekly","corrected_compact_prediction","available",
"europe__europe__am__ge80__female","europe","europe","AM","Armenia","AM","GE80","female","weekly",,"project","output/results/europe_corrected_psd_prior_20260830/fitted_model/AM_Y_GE80_F.rda","eurostat_weekly","corrected_compact_prediction","available",
"europe__europe__am__ge80__male","europe","europe","AM","Armenia","AM","GE80","male","weekly",,"project","output/results/europe_corrected_psd_prior_20260830/fitted_model/AM_Y_GE80_M.rda","eurostat_weekly","corrected_compact_prediction","available",
"europe__europe__am__ge80__total","europe","europe","AM","Armenia","AM","GE80","total","weekly",,"project","output/results/europe_corrected_psd_prior_20260830/fitted_model/AM_Y_GE80_T.rda","eurostat_weekly","corrected_compact_prediction","available",
"europe__europe__at__20-39__female","europe","europe","AT","Austria","AT","20-39","female","weekly",,"project","output/results/europe_corrected_psd_prior_20260830/fitted_model/AT_Y20-39_F.rda","eurostat_weekly","corrected_compact_prediction","available",
"europe__europe__at__20-39__male","europe","europe","AT","Austria","AT","20-39","male","weekly",,"project","output/results/europe_corrected_psd_prior_20260830/fitted_model/AT_Y20-39_M.rda","eurostat_weekly","corrected_compact_prediction","available",
"europe__europe__at__20-39__total","europe","europe","AT","Austria","AT","20-39","total","weekly",,"project","output/results/europe_corrected_psd_prior_20260830/fitted_model/AT_Y20-39_T.rda","eurostat_weekly","corrected_compact_prediction","available",
"europe__europe__at__40-59__female","europe","europe","AT","Austria","AT","40-59","female","weekly",,"project","output/results/europe_corrected_psd_prior_20260830/fitted_model/AT_Y40-59_F.rda","eurostat_weekly","corrected_compact_prediction","available",
"europe__europe__at__40-59__male","europe","europe","AT","Austria","AT","40-59","male","weekly",,"project","output/results/europe_corrected_psd_prior_20260830/fitted_model/AT_Y40-59_M.rda","eurostat_weekly","corrected_compact_prediction","available",
"europe__europe__at__40-59__total","europe","europe","AT","Austria","AT","40-59","total","weekly",,"project","output/results/europe_corrected_psd_prior_20260830/fitted_model/AT_Y40-59_T.rda","eurostat_weekly","corrected_compact_prediction","available",
"europe__europe__at__60-79__female","europe","europe","AT","Austria","AT","60-79","female","weekly",,"project","output/results/europe_corrected_psd_prior_20260830/fitted_model/AT_Y60-79_F.rda","eurostat_weekly","corrected_compact_prediction","available",
"europe__europe__at__60-79__male","europe","europe","AT","Austria","AT","60-79","male","weekly",,"project","output/results/europe_corrected_psd_prior_20260830/fitted_model/AT_Y60-79_M.rda","eurostat_weekly","corrected_compact_prediction","available",
"europe__europe__at__60-79__total","europe","europe","AT","Austria","AT","60-79","total","weekly",,"project","output/results/europe_corrected_psd_prior_20260830/fitted_model/AT_Y60-79_T.rda","eurostat_weekly","corrected_compact_prediction","available",
"europe__europe__at__ge80__female","europe","europe","AT","Austria","AT","GE80","female","weekly",,"project","output/results/europe_corrected_psd_prior_20260830/fitted_model/AT_Y_GE80_F.rda","eurostat_weekly","corrected_compact_prediction","available",
"europe__europe__at__ge80__male","europe","europe","AT","Austria","AT","GE80","male","weekly",,"project","output/results/europe_corrected_psd_prior_20260830/fitted_model/AT_Y_GE80_M.rda","eurostat_weekly","corrected_compact_prediction","available",
"europe__europe__at__ge80__total","europe","europe","AT","Austria","AT","GE80","total","weekly",,"project","output/results/europe_corrected_psd_prior_20260830/fitted_model/AT_Y_GE80_T.rda","eurostat_weekly","corrected_compact_prediction","available",
"europe__europe__be__20-39__female","europe","europe","BE","Belgium","BE","20-39","female","weekly",,"project","output/results/europe_corrected_psd_prior_20260830/fitted_model/BE_Y20-39_F.rda","eurostat_weekly","corrected_compact_prediction","available",
"europe__europe__be__20-39__male","europe","europe","BE","Belgium","BE","20-39","male","weekly",,"project","output/results/europe_corrected_psd_prior_20260830/fitted_model/BE_Y20-39_M.rda","eurostat_weekly","corrected_compact_prediction","available",
"europe__europe__be__20-39__total","europe","europe","BE","Belgium","BE","20-39","total","weekly",,"project","output/results/europe_corrected_psd_prior_20260830/fitted_model/BE_Y20-39_T.rda","eurostat_weekly","corrected_compact_prediction","available",
"europe__europe__be__40-59__female","europe","europe","BE","Belgium","BE","40-59","female","weekly",,"project","output/results/europe_corrected_psd_prior_20260830/fitted_model/BE_Y40-59_F.rda","eurostat_weekly","corrected_compact_prediction","available",
"europe__europe__be__40-59__male","europe","europe","BE","Belgium","BE","40-59","male","weekly",,"project","output/results/europe_corrected_psd_prior_20260830/fitted_model/BE_Y40-59_M.rda","eurostat_weekly","corrected_compact_prediction","available",
"europe__europe__be__40-59__total","europe","europe","BE","Belgium","BE","40-59","total","weekly",,"project","output/results/europe_corrected_psd_prior_20260830/fitted_model/BE_Y40-59_T.rda","eurostat_weekly","corrected_compact_prediction","available",
"europe__europe__be__60-79__female","europe","europe","BE","Belgium","BE","60-79","female","weekly",,"project","output/results/europe_corrected_psd_prior_20260830/fitted_model/BE_Y60-79_F.rda","eurostat_weekly","corrected_compact_prediction","available",
"europe__europe__be__60-79__male","europe","europe","BE","Belgium","BE","60-79","male","weekly",,"project","output/results/europe_corrected_psd_prior_20260830/fitted_model/BE_Y60-79_M.rda","eurostat_weekly","corrected_compact_prediction","available",
"europe__europe__be__60-79__total","europe","europe","BE","Belgium","BE","60-79","total","weekly",,"project","output/results/europe_corrected_psd_prior_20260830/fitted_model/BE_Y60-79_T.rda","eurostat_weekly","corrected_compact_prediction","available",
"europe__europe__be__ge80__female","europe","europe","BE","Belgium","BE","GE80","female","weekly",,"project","output/results/europe_corrected_psd_prior_20260830/fitted_model/BE_Y_GE80_F.rda","eurostat_weekly","corrected_compact_prediction","available",
"europe__europe__be__ge80__male","europe","europe","BE","Belgium","BE","GE80","male","weekly",,"project","output/results/europe_corrected_psd_prior_20260830/fitted_model/BE_Y_GE80_M.rda","eurostat_weekly","corrected_compact_prediction","available",
"europe__europe__be__ge80__total","europe","europe","BE","Belgium","BE","GE80","total","weekly",,"project","output/results/europe_corrected_psd_prior_20260830/fitted_model/BE_Y_GE80_T.rda","eurostat_weekly","corrected_compact_prediction","available",
"europe__europe__bg__20-39__female","europe","europe","BG","Bulgaria","BG","20-39","female","weekly",,"project","output/results/europe_corrected_psd_prior_20260830/fitted_model/BG_Y20-39_F.rda","eurostat_weekly","corrected_compact_prediction","available",
"europe__europe__bg__20-39__male","europe","europe","BG","Bulgaria","BG","20-39","male","weekly",,"project","output/results/europe_corrected_psd_prior_20260830/fitted_model/BG_Y20-39_M.rda","eurostat_weekly","corrected_compact_prediction","available",
"europe__europe__bg__20-39__total","europe","europe","BG","Bulgaria","BG","20-39","total","weekly",,"project","output/results/europe_corrected_psd_prior_20260830/fitted_model/BG_Y20-39_T.rda","eurostat_weekly","corrected_compact_prediction","available",
