"analysis_id","analysis_family","geography","geography_label","map_id","age_group","sex","frequency","wave","start","end_exclusive","observed_periods","observed_deaths","expected_lower","expected_median","expected_upper","delta_lower","delta_median","delta_upper","p_lower","p_median","p_upper","posterior_draws","status"
"canada__canada-non-sex__ab__0-44__total","canada_non_sex","AB","AB","AB","0-44","total","weekly","initial",2020-03-01,2020-11-01,35,1855,1185.975,1342,1498.025,356.975,513,669.025,0.238297104611797,0.382265275707899,0.564113941839036,3000,"success"
"canada__canada-non-sex__ab__0-44__total","canada_non_sex","AB","AB","AB","0-44","total","weekly","alpha",2020-11-01,2021-07-01,34,1835,1074,1270,1462,373,565,761,0.255129958960328,0.44488188976378,0.708566108007449,3000,"success"
"canada__canada-non-sex__ab__0-44__total","canada_non_sex","AB","AB","AB","0-44","total","weekly","delta",2021-07-01,2022-01-01,26,1625,768.975,951,1124,501,674,856.025,0.445729537366548,0.708727655099895,1.11320272709417,3000,"success"
"canada__canada-non-sex__ab__0-44__total","canada_non_sex","AB","AB","AB","0-44","total","weekly","omicron",2022-01-01,2024-04-01,84,5050,2213.9,2933,3617.05,1432.95,2117,2836.1,0.39616539379185,0.721786566655302,1.28104268599247,3000,"success"
"canada__canada-non-sex__ab__45-64__total","canada_non_sex","AB","AB","AB","45-64","total","weekly","initial",2020-03-01,2020-11-01,35,3350,2950.95,3124,3304.025,45.975,226,399.05,0.0139148485492302,0.0723431498079385,0.1352276512758,3000,"success"
"canada__canada-non-sex__ab__45-64__total","canada_non_sex","AB","AB","AB","45-64","total","weekly","alpha",2020-11-01,2021-07-01,34,3580,2935,3150,3362,218,430,645,0.0648423557406306,0.136507936507936,0.219761499148211,3000,"success"
"canada__canada-non-sex__ab__45-64__total","canada_non_sex","AB","AB","AB","45-64","total","weekly","delta",2021-07-01,2022-01-01,26,2985,2168,2361,2549,436,624,817,0.17104746959592,0.264294790343075,0.376845018450184,3000,"success"
"canada__canada-non-sex__ab__45-64__total","canada_non_sex","AB","AB","AB","45-64","total","weekly","omicron",2022-01-01,2024-04-01,84,8825,7069.95,7808,8472.025,352.975,1017,1755.05,0.0416635931783312,0.130251024590164,0.248240796217628,3000,"success"
"canada__canada-non-sex__ab__65-84__total","canada_non_sex","AB","AB","AB","65-84","total","weekly","initial",2020-03-01,2020-11-01,35,7555,6880.975,7128,7368,187,427,674.025,0.0253800217155266,0.0599046015712682,0.0979548688797599,3000,"success"
"canada__canada-non-sex__ab__65-84__total","canada_non_sex","AB","AB","AB","65-84","total","weekly","alpha",2020-11-01,2021-07-01,34,8260,7153.95,7418,7731.025,528.975,842,1106.05,0.0684223635763944,0.113507684011863,0.154606897691503,3000,"success"
"canada__canada-non-sex__ab__65-84__total","canada_non_sex","AB","AB","AB","65-84","total","weekly","delta",2021-07-01,2022-01-01,26,6610,5269.975,5505,5764.075,845.925,1105,1340.025,0.146758160437349,0.200726612170754,0.254275400889453,3000,"success"
"canada__canada-non-sex__ab__65-84__total","canada_non_sex","AB","AB","AB","65-84","total","weekly","omicron",2022-01-01,2024-04-01,84,21785,17936.95,18631,19665.025,2119.975,3154,3848.05,0.1078043379743,0.169287746229403,0.21453201389325,3000,"success"
"canada__canada-non-sex__ab__85plus__total","canada_non_sex","AB","AB","AB","85+","total","weekly","initial",2020-03-01,2020-11-01,35,5940,5670.975,5927,6160,-220,13,269.025,-0.0357142857142857,0.00219335245486756,0.0474389332527227,3000,"success"
"canada__canada-non-sex__ab__85plus__total","canada_non_sex","AB","AB","AB","85+","total","weekly","alpha",2020-11-01,2021-07-01,34,6850,6008.975,6320,6590,260,530,841.025,0.039453717754173,0.0838607594936709,0.139961475064368,3000,"success"
"canada__canada-non-sex__ab__85plus__total","canada_non_sex","AB","AB","AB","85+","total","weekly","delta",2021-07-01,2022-01-01,26,4925,4388.975,4671.5,4914.025,10.975,253.5,536.025,0.00223340438243796,0.0542652373798694,0.122129883682024,3000,"success"
"canada__canada-non-sex__ab__85plus__total","canada_non_sex","AB","AB","AB","85+","total","weekly","omicron",2022-01-01,2024-04-01,84,16525,14857.65,15972,16696.025,-171.025,553,1667.35,-0.0102434560654472,0.0346230904082144,0.112221674218803,3000,"success"
"canada__canada-non-sex__bc__0-44__total","canada_non_sex","BC","BC","BC","0-44","total","weekly","initial",2020-03-01,2020-11-01,35,1690,1150,1295,1456,234,395,540,0.160714285714286,0.305019305019305,0.469565217391304,3000,"success"
"canada__canada-non-sex__bc__0-44__total","canada_non_sex","BC","BC","BC","0-44","total","weekly","alpha",2020-11-01,2021-07-01,34,1675,989.975,1187,1399.025,275.975,488,685.025,0.197262394056979,0.411120471777591,0.691961960351748,3000,"success"
"canada__canada-non-sex__bc__0-44__total","canada_non_sex","BC","BC","BC","0-44","total","weekly","delta",2021-07-01,2022-01-01,26,1525,690,863,1067,458,662,835,0.429240862230553,0.767091541135574,1.21014492753623,3000,"success"
"canada__canada-non-sex__bc__0-44__total","canada_non_sex","BC","BC","BC","0-44","total","weekly","omicron",2022-01-01,2024-04-01,84,4780,1879.95,2579.5,3433.15,1346.85,2200.5,2900.05,0.392307459702779,0.853072370457872,1.54262088459883,3000,"success"
"canada__canada-non-sex__bc__45-64__total","canada_non_sex","BC","BC","BC","45-64","total","weekly","initial",2020-03-01,2020-11-01,35,4175,3392.95,3671,3923.025,251.975,504,782.05,0.0642297733536739,0.137292290928902,0.230492649576126,3000,"success"
"canada__canada-non-sex__bc__45-64__total","canada_non_sex","BC","BC","BC","45-64","total","weekly","alpha",2020-11-01,2021-07-01,34,4220,3251,3612,3928.025,291.975,608,969,0.074331249588547,0.168327796234773,0.298062134727776,3000,"success"
"canada__canada-non-sex__bc__45-64__total","canada_non_sex","BC","BC","BC","45-64","total","weekly","delta",2021-07-01,2022-01-01,26,3655,2338.975,2667,2949.025,705.975,988,1316.025,0.23939268410435,0.370453693288339,0.56265031318905,3000,"success"
"canada__canada-non-sex__bc__45-64__total","canada_non_sex","BC","BC","BC","45-64","total","weekly","omicron",2022-01-01,2024-04-01,84,10495,7188,8605,9770.075,724.925,1890,3307,0.0741985116913402,0.219639744334689,0.460072342793545,3000,"success"
"canada__canada-non-sex__bc__65-84__total","canada_non_sex","BC","BC","BC","65-84","total","weekly","initial",2020-03-01,2020-11-01,35,11315,10511.975,10870,11205.05,109.95,445,803.025,0.00981254066562195,0.0409383624655014,0.0763914490375163,3000,"success"
"canada__canada-non-sex__bc__65-84__total","canada_non_sex","BC","BC","BC","65-84","total","weekly","alpha",2020-11-01,2021-07-01,34,12075,10809.95,11273,11662,413,802,1265.05,0.0354141656662665,0.0711434400780626,0.117026444162716,3000,"success"
"canada__canada-non-sex__bc__65-84__total","canada_non_sex","BC","BC","BC","65-84","total","weekly","delta",2021-07-01,2022-01-01,26,10025,7848.975,8269,8632.05,1392.95,1756,2176.025,0.161369548730014,0.21235941468134,0.277236837162424,3000,"success"
"canada__canada-non-sex__bc__65-84__total","canada_non_sex","BC","BC","BC","65-84","total","weekly","omicron",2022-01-01,2024-04-01,84,31495,26461,28336.5,29576.125,1918.875,3158.5,5034,0.0648791896144892,0.111464013191676,0.190242243301463,3000,"success"
"canada__canada-non-sex__bc__85plus__total","canada_non_sex","BC","BC","BC","85+","total","weekly","initial",2020-03-01,2020-11-01,35,9660,9269.95,9918,10479,-819,-258,390.05,-0.0781563126252505,-0.0260133091349062,0.042076819288417,3000,"success"
"canada__canada-non-sex__bc__85plus__total","canada_non_sex","BC","BC","BC","85+","total","weekly","alpha",2020-11-01,2021-07-01,34,10390,9587.875,10514,11295.05,-905.05,-124,802.125,-0.0801280199787437,-0.0117937987445311,0.0836603594548492,3000,"success"
"canada__canada-non-sex__bc__85plus__total","canada_non_sex","BC","BC","BC","85+","total","weekly","delta",2021-07-01,2022-01-01,26,8105,6802.9,7559.5,8281.075,-176.075,545.5,1302.1,-0.0212623329798435,0.0721608618899927,0.191403676129232,3000,"success"
"canada__canada-non-sex__bc__85plus__total","canada_non_sex","BC","BC","BC","85+","total","weekly","omicron",2022-01-01,2024-04-01,84,26690,22898.525,26254.5,28081.15,-1391.15,435.5,3791.475,-0.0495403489638202,0.0165876329650204,0.165577278373075,3000,"success"
"canada__canada-non-sex__mb__0-44__total","canada_non_sex","MB","MB","MB","0-44","total","weekly","initial",2020-03-01,2020-11-01,35,665,477,542,610,55,123,188,0.0901639344262295,0.226937269372694,0.394129979035639,3000,"success"
"canada__canada-non-sex__mb__0-44__total","canada_non_sex","MB","MB","MB","0-44","total","weekly","alpha",2020-11-01,2021-07-01,34,590,465.975,531,606,-16,59,124.025,-0.0264026402640264,0.111111111111111,0.266162490193364,3000,"success"
"canada__canada-non-sex__mb__0-44__total","canada_non_sex","MB","MB","MB","0-44","total","weekly","delta",2021-07-01,2022-01-01,26,490,354,410,474,16,80,136,0.0337552742616034,0.195121951219512,0.384180790960452,3000,"success"
"canada__canada-non-sex__mb__0-44__total","canada_non_sex","MB","MB","MB","0-44","total","weekly","omicron",2022-01-01,2024-04-01,37,685,521,600,691.025,-6.02499999999999,85,164,-0.00871888149034238,0.141666666666667,0.314779270633397,3000,"success"
"canada__canada-non-sex__mb__45-64__total","canada_non_sex","MB","MB","MB","45-64","total","weekly","initial",2020-03-01,2020-11-01,35,1195,1112,1202,1291,-96,-7,83,-0.0743609604957397,-0.00582362728785358,0.0746402877697842,3000,"success"
"canada__canada-non-sex__mb__45-64__total","canada_non_sex","MB","MB","MB","45-64","total","weekly","alpha",2020-11-01,2021-07-01,34,1230,1108.975,1204,1295,-65,26,121.025,-0.0501930501930502,0.0215946843853821,0.10913232886166,3000,"success"
"canada__canada-non-sex__mb__45-64__total","canada_non_sex","MB","MB","MB","45-64","total","weekly","delta",2021-07-01,2022-01-01,26,960,823,900,984,-24,60,137,-0.024390243902439,0.0666666666666667,0.166464155528554,3000,"success"
"canada__canada-non-sex__mb__45-64__total","canada_non_sex","MB","MB","MB","45-64","total","weekly","omicron",2022-01-01,2024-04-01,38,1315,1225,1345,1454,-139,-30,90,-0.0955983493810179,-0.0223048327137546,0.073469387755102,3000,"success"
"canada__canada-non-sex__mb__65-84__total","canada_non_sex","MB","MB","MB","65-84","total","weekly","initial",2020-03-01,2020-11-01,35,3065,2891,3043,3212.05,-147.05,22,174,-0.0457807229191093,0.00722970752546829,0.0601867865790384,3000,"success"
"canada__canada-non-sex__mb__65-84__total","canada_non_sex","MB","MB","MB","65-84","total","weekly","alpha",2020-11-01,2021-07-01,34,3465,2940,3125,3316,149,340,525,0.0449336550060314,0.1088,0.178571428571429,3000,"success"
"canada__canada-non-sex__mb__65-84__total","canada_non_sex","MB","MB","MB","65-84","total","weekly","delta",2021-07-01,2022-01-01,26,2410,2182.975,2331,2503.075,-93.075,79,227.025,-0.0371842296825613,0.0338910338910339,0.103997990051447,3000,"success"
"canada__canada-non-sex__mb__65-84__total","canada_non_sex","MB","MB","MB","65-84","total","weekly","omicron",2022-01-01,2024-04-01,38,3895,3233,3453,3726,169,442,662,0.0453569511540526,0.128004633651897,0.204763377667801,3000,"success"
"canada__canada-non-sex__mb__85plus__total","canada_non_sex","MB","MB","MB","85+","total","weekly","initial",2020-03-01,2020-11-01,35,2540,2461.975,2634,2800.025,-260.025,-94,78.0250000000001,-0.0928652394552966,-0.0356871678056188,0.0316920400159631,3000,"success"
"canada__canada-non-sex__mb__85plus__total","canada_non_sex","MB","MB","MB","85+","total","weekly","alpha",2020-11-01,2021-07-01,34,2785,2599.975,2794,3004,-219,-9,185.025,-0.0729027962716378,-0.00322118826055834,0.0711641496729512,3000,"success"
"canada__canada-non-sex__mb__85plus__total","canada_non_sex","MB","MB","MB","85+","total","weekly","delta",2021-07-01,2022-01-01,26,1940,1822,1996.5,2176,-236,-56.5,118,-0.108455882352941,-0.0282994632228904,0.0647639956092206,3000,"success"
"canada__canada-non-sex__mb__85plus__total","canada_non_sex","MB","MB","MB","85+","total","weekly","omicron",2022-01-01,2024-04-01,38,3085,2774,3014,3265.025,-180.025,71,311,-0.0551374010760079,0.0235567352355674,0.11211247296323,3000,"success"
"canada__canada-non-sex__nb__0-44__total","canada_non_sex","NB","NB","NB","0-44","total","weekly","initial",2020-03-01,2020-11-01,35,190,154,199,256,-66,-9,36,-0.2578125,-0.0452261306532663,0.233766233766234,3000,"success"
"canada__canada-non-sex__nb__0-44__total","canada_non_sex","NB","NB","NB","0-44","total","weekly","alpha",2020-11-01,2021-07-01,34,170,142,187,244,-74,-17,28,-0.30327868852459,-0.0909090909090909,0.197183098591549,3000,"success"
"canada__canada-non-sex__nb__0-44__total","canada_non_sex","NB","NB","NB","0-44","total","weekly","delta",2021-07-01,2022-01-01,25,130,107,145,194.025,-64.025,-15,23,-0.329982817869416,-0.103448275862069,0.214953271028037,3000,"success"
"canada__canada-non-sex__nb__0-44__total","canada_non_sex","NB","NB","NB","0-44","total","weekly","omicron",2022-01-01,2024-04-01,70,405,314.975,399,507,-102,6,90.0250000000001,-0.201183431952663,0.0150375939849624,0.285816651501365,3000,"success"
"canada__canada-non-sex__nb__45-64__total","canada_non_sex","NB","NB","NB","45-64","total","weekly","initial",2020-03-01,2020-11-01,35,755,681,751,823,-68,4,74,-0.0826245443499393,0.00532623169107856,0.108663729809104,3000,"success"
"canada__canada-non-sex__nb__45-64__total","canada_non_sex","NB","NB","NB","45-64","total","weekly","alpha",2020-11-01,2021-07-01,34,740,681,761.5,840,-100,-21.5,59,-0.119047619047619,-0.0282333302292535,0.0866372980910426,3000,"success"
"canada__canada-non-sex__nb__45-64__total","canada_non_sex","NB","NB","NB","45-64","total","weekly","delta",2021-07-01,2022-01-01,26,615,490,556,623,-8,59,125,-0.0128410914927769,0.106115107913669,0.255102040816327,3000,"success"
"canada__canada-non-sex__nb__45-64__total","canada_non_sex","NB","NB","NB","45-64","total","weekly","omicron",2022-01-01,2024-04-01,73,1725,1445.975,1630,1800,-75,95,279.025,-0.0416666666666667,0.058282208588957,0.192966697296444,3000,"success"
"canada__canada-non-sex__nb__65-84__total","canada_non_sex","NB","NB","NB","65-84","total","weekly","initial",2020-03-01,2020-11-01,35,2335,2385,2523,2669,-334,-188,-50,-0.125140502060697,-0.0745144669044788,-0.0209643605870021,3000,"success"
"canada__canada-non-sex__nb__65-84__total","canada_non_sex","NB","NB","NB","65-84","total","weekly","alpha",2020-11-01,2021-07-01,34,2490,2513.975,2669.5,2843,-353,-179.5,-23.9749999999999,-0.124164614843475,-0.0672410236548638,-0.00953668608201549,3000,"success"
"canada__canada-non-sex__nb__65-84__total","canada_non_sex","NB","NB","NB","65-84","total","weekly","delta",2021-07-01,2022-01-01,26,2020,1816,1939,2090.025,-70.025,81,204,-0.0335043785281647,0.0417741103661681,0.112334801762115,3000,"success"
"canada__canada-non-sex__nb__65-84__total","canada_non_sex","NB","NB","NB","65-84","total","weekly","omicron",2022-01-01,2024-04-01,73,6240,5623,5961.5,6449.05,-209.05,278.5,617,-0.0324156248402289,0.0467164377916369,0.10972790325449,3000,"success"
"canada__canada-non-sex__nb__85plus__total","canada_non_sex","NB","NB","NB","85+","total","weekly","initial",2020-03-01,2020-11-01,35,1635,1692,1822,1961,-326,-187,-57,-0.166241713411525,-0.102634467618002,-0.0336879432624113,3000,"success"
"canada__canada-non-sex__nb__85plus__total","canada_non_sex","NB","NB","NB","85+","total","weekly","alpha",2020-11-01,2021-07-01,34,1685,1727,1894,2048,-363,-209,-42,-0.17724609375,-0.110348468848997,-0.0243196294151708,3000,"success"
"canada__canada-non-sex__nb__85plus__total","canada_non_sex","NB","NB","NB","85+","total","weekly","delta",2021-07-01,2022-01-01,26,1360,1230.95,1357,1506,-146,3,129.05,-0.0969455511288181,0.00221075902726603,0.104837798161014,3000,"success"
"canada__canada-non-sex__nb__85plus__total","canada_non_sex","NB","NB","NB","85+","total","weekly","omicron",2022-01-01,2024-04-01,73,4295,3814.975,4164,4475.025,-180.025,131,480.025,-0.0402288243693242,0.0314601344860711,0.125826514510588,3000,"success"
"canada__canada-non-sex__nl__0-44__total","canada_non_sex","NL","NL","NL","0-44","total","weekly","initial",2020-03-01,2020-11-01,35,100,108,161,237,-137,-61,-8,-0.578059071729958,-0.37888198757764,-0.0740740740740741,3000,"success"
"canada__canada-non-sex__nl__0-44__total","canada_non_sex","NL","NL","NL","0-44","total","weekly","alpha",2020-11-01,2021-07-01,34,145,105,162,250.025,-105.025,-17,40,-0.420057768924303,-0.104938271604938,0.380952380952381,3000,"success"
"canada__canada-non-sex__nl__0-44__total","canada_non_sex","NL","NL","NL","0-44","total","weekly","delta",2021-07-01,2022-01-01,25,95,73,116,184,-89,-21,22,-0.483695652173913,-0.181034482758621,0.301369863013699,3000,"success"
