"manuscript_row","region_set","geography","estimand_age_group","exact_match"
1,"Europe","BE","60-79",TRUE
2,"Europe","IT","60-79",TRUE
3,"Europe","FI","60-79",TRUE
4,"Europe","HU","60-79",TRUE
5,"Europe","ES","60-79",TRUE
6,"Europe","AT","60-79",TRUE
7,"Europe","DK","60-79",TRUE
8,"Europe","PT","60-79",TRUE
9,"Europe","RS","60-79",TRUE
10,"Europe","HR","60-79",TRUE
11,"Europe","SK","60-79",TRUE
12,"Europe","LV","60-79",TRUE
13,"Europe","RO","60-79",TRUE
14,"Europe","BG","60-79",TRUE
15,"Europe","AM","60-79",TRUE
16,"United States","Massachusetts","65-84",TRUE
17,"United States","Connecticut","65-84",TRUE
18,"United States","New Mexico","65-84",TRUE
19,"United States","New Jersey","65-84",TRUE
20,"United States","Pennsylvania","65-84",TRUE
21,"United States","Maryland","65-84",TRUE
22,"United States","Tennessee","65-84",TRUE
23,"United States","Alabama","65-84",TRUE
24,"United States","Idaho","65-84",TRUE
25,"United States","Louisiana","65-84",TRUE
26,"United States","Mississippi","65-84",TRUE
