"figure","region","geography","age_group","status","reason","geography_label"
"figure_04","europe","AM","20-39","available",,"Armenia"
"figure_04","europe","AT","20-39","available",,"Austria"
"figure_04","europe","BE","20-39","available",,"Belgium"
"figure_04","europe","BG","20-39","available",,"Bulgaria"
"figure_04","europe","HR","20-39","available",,"Croatia"
"figure_04","europe","CY","20-39","available",,"Cyprus"
"figure_04","europe","CZ","20-39","available",,"Czechia"
"figure_04","europe","DK","20-39","available",,"Denmark"
"figure_04","europe","EE","20-39","available",,"Estonia"
"figure_04","europe","FI","20-39","available",,"Finland"
"figure_04","europe","FR","20-39","available",,"France"
"figure_04","europe","DE","20-39","available",,"Germany"
"figure_04","europe","EL","20-39","available",,"Greece"
"figure_04","europe","HU","20-39","available",,"Hungary"
"figure_04","europe","IS","20-39","available",,"Iceland"
"figure_04","europe","IT","20-39","available",,"Italy"
"figure_04","europe","LV","20-39","available",,"Latvia"
"figure_04","europe","LI","20-39","available",,"Liechtenstein"
"figure_04","europe","LT","20-39","available",,"Lithuania"
"figure_04","europe","LU","20-39","available",,"Luxembourg"
"figure_04","europe","MT","20-39","available",,"Malta"
"figure_04","europe","ME","20-39","available",,"Montenegro"
"figure_04","europe","NL","20-39","available",,"Netherlands"
"figure_04","europe","NO","20-39","available",,"Norway"
"figure_04","europe","PL","20-39","available",,"Poland"
"figure_04","europe","PT","20-39","available",,"Portugal"
"figure_04","europe","RO","20-39","available",,"Romania"
"figure_04","europe","RS","20-39","available",,"Serbia"
"figure_04","europe","SK","20-39","available",,"Slovakia"
"figure_04","europe","SI","20-39","available",,"Slovenia"
"figure_04","europe","ES","20-39","available",,"Spain"
"figure_04","europe","SE","20-39","available",,"Sweden"
"figure_04","europe","CH","20-39","available",,"Switzerland"
"figure_04","europe","AM","40-59","available",,"Armenia"
"figure_04","europe","AT","40-59","available",,"Austria"
"figure_04","europe","BE","40-59","available",,"Belgium"
"figure_04","europe","BG","40-59","available",,"Bulgaria"
"figure_04","europe","HR","40-59","available",,"Croatia"
"figure_04","europe","CY","40-59","available",,"Cyprus"
"figure_04","europe","CZ","40-59","available",,"Czechia"
"figure_04","europe","DK","40-59","available",,"Denmark"
"figure_04","europe","EE","40-59","available",,"Estonia"
