"figure","region","geography","geography_label","age_group","frequency","coverage_start","usable_observations","expected_observations","missing_observations","coverage_fraction","default_eligible"
"figure_04","europe","AM","Armenia","20-39","weekly",2020-01-01,221,227,6,0.973568281938326,TRUE
"figure_04","europe","AT","Austria","20-39","weekly",2020-01-01,222,227,5,0.977973568281938,TRUE
"figure_04","europe","BE","Belgium","20-39","weekly",2020-01-01,223,227,4,0.982378854625551,TRUE
"figure_04","europe","BG","Bulgaria","20-39","weekly",2020-01-01,221,227,6,0.973568281938326,TRUE
"figure_04","europe","HR","Croatia","20-39","weekly",2020-01-01,221,227,6,0.973568281938326,TRUE
"figure_04","europe","CY","Cyprus","20-39","weekly",2020-01-01,200,227,27,0.881057268722467,FALSE
"figure_04","europe","CZ","Czechia","20-39","weekly",2020-01-01,221,227,6,0.973568281938326,TRUE
"figure_04","europe","DK","Denmark","20-39","weekly",2020-01-01,221,227,6,0.973568281938326,TRUE
"figure_04","europe","EE","Estonia","20-39","weekly",2020-01-01,225,227,2,0.991189427312775,TRUE
"figure_04","europe","FI","Finland","20-39","weekly",2020-01-01,223,227,4,0.982378854625551,TRUE
"figure_04","europe","FR","France","20-39","weekly",2020-01-01,222,227,5,0.977973568281938,TRUE
"figure_04","europe","DE","Germany","20-39","weekly",2020-01-01,225,227,2,0.991189427312775,TRUE
"figure_04","europe","EL","Greece","20-39","weekly",2020-01-01,221,227,6,0.973568281938326,TRUE
"figure_04","europe","HU","Hungary","20-39","weekly",2020-01-01,221,227,6,0.973568281938326,TRUE
"figure_04","europe","IS","Iceland","20-39","weekly",2020-01-01,161,227,66,0.709251101321586,FALSE
"figure_04","europe","IT","Italy","20-39","weekly",2020-01-01,221,227,6,0.973568281938326,TRUE
"figure_04","europe","LV","Latvia","20-39","weekly",2020-01-01,226,227,1,0.995594713656388,TRUE
"figure_04","europe","LI","Liechtenstein","20-39","weekly",2020-01-01,9,227,218,0.039647577092511,FALSE
"figure_04","europe","LT","Lithuania","20-39","weekly",2020-01-01,225,227,2,0.991189427312775,TRUE
"figure_04","europe","LU","Luxembourg","20-39","weekly",2020-01-01,152,227,75,0.669603524229075,FALSE
"figure_04","europe","MT","Malta","20-39","weekly",2020-01-01,149,227,78,0.656387665198238,FALSE
"figure_04","europe","ME","Montenegro","20-39","weekly",2020-01-01,190,227,37,0.837004405286344,FALSE
"figure_04","europe","NL","Netherlands","20-39","weekly",2020-01-01,225,227,2,0.991189427312775,TRUE
"figure_04","europe","NO","Norway","20-39","weekly",2020-01-01,223,227,4,0.982378854625551,TRUE
"figure_04","europe","PL","Poland","20-39","weekly",2020-01-01,223,227,4,0.982378854625551,TRUE
"figure_04","europe","PT","Portugal","20-39","weekly",2020-01-01,221,227,6,0.973568281938326,TRUE
"figure_04","europe","RO","Romania","20-39","weekly",2020-01-01,221,227,6,0.973568281938326,TRUE
"figure_04","europe","RS","Serbia","20-39","weekly",2020-01-01,204,227,23,0.898678414096916,FALSE
"figure_04","europe","SK","Slovakia","20-39","weekly",2020-01-01,225,227,2,0.991189427312775,TRUE
"figure_04","europe","SI","Slovenia","20-39","weekly",2020-01-01,220,227,7,0.969162995594714,TRUE
"figure_04","europe","ES","Spain","20-39","weekly",2020-01-01,224,227,3,0.986784140969163,TRUE
"figure_04","europe","SE","Sweden","20-39","weekly",2020-01-01,224,227,3,0.986784140969163,TRUE
"figure_04","europe","CH","Switzerland","20-39","weekly",2020-01-01,222,227,5,0.977973568281938,TRUE
"figure_04","europe","AM","Armenia","40-59","weekly",2020-01-01,221,227,6,0.973568281938326,TRUE
"figure_04","europe","AT","Austria","40-59","weekly",2020-01-01,222,227,5,0.977973568281938,TRUE
"figure_04","europe","BE","Belgium","40-59","weekly",2020-01-01,223,227,4,0.982378854625551,TRUE
"figure_04","europe","BG","Bulgaria","40-59","weekly",2020-01-01,221,227,6,0.973568281938326,TRUE
"figure_04","europe","HR","Croatia","40-59","weekly",2020-01-01,221,227,6,0.973568281938326,TRUE
"figure_04","europe","CY","Cyprus","40-59","weekly",2020-01-01,222,227,5,0.977973568281938,TRUE
"figure_04","europe","CZ","Czechia","40-59","weekly",2020-01-01,221,227,6,0.973568281938326,TRUE
"figure_04","europe","DK","Denmark","40-59","weekly",2020-01-01,221,227,6,0.973568281938326,TRUE
"figure_04","europe","EE","Estonia","40-59","weekly",2020-01-01,227,227,0,1,TRUE
"figure_04","europe","FI","Finland","40-59","weekly",2020-01-01,223,227,4,0.982378854625551,TRUE
"figure_04","europe","FR","France","40-59","weekly",2020-01-01,222,227,5,0.977973568281938,TRUE
"figure_04","europe","DE","Germany","40-59","weekly",2020-01-01,225,227,2,0.991189427312775,TRUE
"figure_04","europe","EL","Greece","40-59","weekly",2020-01-01,221,227,6,0.973568281938326,TRUE
"figure_04","europe","HU","Hungary","40-59","weekly",2020-01-01,221,227,6,0.973568281938326,TRUE
"figure_04","europe","IS","Iceland","40-59","weekly",2020-01-01,216,227,11,0.951541850220264,TRUE
"figure_04","europe","IT","Italy","40-59","weekly",2020-01-01,221,227,6,0.973568281938326,TRUE
"figure_04","europe","LV","Latvia","40-59","weekly",2020-01-01,226,227,1,0.995594713656388,TRUE
"figure_04","europe","LI","Liechtenstein","40-59","weekly",2020-01-01,61,227,166,0.268722466960352,FALSE
"figure_04","europe","LT","Lithuania","40-59","weekly",2020-01-01,225,227,2,0.991189427312775,TRUE
"figure_04","europe","LU","Luxembourg","40-59","weekly",2020-01-01,220,227,7,0.969162995594714,TRUE
"figure_04","europe","MT","Malta","40-59","weekly",2020-01-01,226,227,1,0.995594713656388,TRUE
"figure_04","europe","ME","Montenegro","40-59","weekly",2020-01-01,204,227,23,0.898678414096916,FALSE
