"figure","region","geography","vaccination_group"
"figure_04","europe","AM","low"
"figure_04","europe","AT","high"
"figure_04","europe","BE","high"
"figure_04","europe","BG","low"
"figure_04","europe","DK","high"
"figure_04","europe","ES","high"
"figure_04","europe","FI","high"
"figure_04","europe","HR","low"
"figure_04","europe","HU","high"
"figure_04","europe","IT","high"
"figure_04","europe","LV","low"
"figure_04","europe","PT","high"
"figure_04","europe","RO","low"
"figure_04","europe","RS","low"
"figure_04","europe","SK","low"
"figure_04","us","Alabama","low"
"figure_04","us","Connecticut","high"
"figure_04","us","Idaho","low"
"figure_04","us","Louisiana","low"
"figure_04","us","Maine","high"
"figure_04","us","Maryland","high"
"figure_04","us","Massachusetts","high"
"figure_04","us","Mississippi","low"
"figure_04","us","New Hampshire","high"
"figure_04","us","New Jersey","high"
"figure_04","us","New Mexico","high"
"figure_04","us","Pennsylvania","high"
"figure_04","us","Tennessee","low"
"figure_05","europe","AM","low"
"figure_05","europe","AT","high"
"figure_05","europe","BE","high"
"figure_05","europe","BG","low"
"figure_05","europe","DK","high"
"figure_05","europe","ES","high"
"figure_05","europe","FI","high"
"figure_05","europe","HR","low"
"figure_05","europe","HU","high"
"figure_05","europe","IT","high"
"figure_05","europe","LV","low"
"figure_05","europe","PT","high"
"figure_05","europe","RO","low"
"figure_05","europe","RS","low"
"figure_05","europe","SK","low"
"figure_05","us","Alabama","low"
"figure_05","us","Connecticut","high"
"figure_05","us","Idaho","low"
"figure_05","us","Louisiana","low"
"figure_05","us","Maryland","high"
"figure_05","us","Massachusetts","high"
"figure_05","us","Mississippi","low"
"figure_05","us","New Jersey","high"
"figure_05","us","New Mexico","high"
"figure_05","us","Pennsylvania","high"
"figure_05","us","Tennessee","low"
