"analysis_id","source_root","model_path","sha256","bytes","posterior_draws","prediction_rows"
"europe__europe__am__20-39__female","project","output/results/europe_corrected_psd_prior_20260830/fitted_model/AM_Y20-39_F.rda","f1b74b5cbda39c132963eed557fef1ee382e23e71e4494dbcf897848b58acf5b",882755,3000,480
"europe__europe__am__20-39__male","project","output/results/europe_corrected_psd_prior_20260830/fitted_model/AM_Y20-39_M.rda","70caaccbd8cead1e2cf8ab67539fa30b3795d37679f9651fb4d2d0ea0a6d7102",1099000,3000,481
"europe__europe__am__20-39__total","project","output/results/europe_corrected_psd_prior_20260830/fitted_model/AM_Y20-39_T.rda","9a30347dc5e190b54b1bd29ede1b48b4cf0f138946a4bc16b6b05c1f625aa68e",1191496,3000,483
"europe__europe__am__40-59__female","project","output/results/europe_corrected_psd_prior_20260830/fitted_model/AM_Y40-59_F.rda","0fbb2221091c6a99ee69ae9f3b3a0badadcc8b3091a7567f0c32003fa69e97d3",1333256,3000,482
"europe__europe__am__40-59__male","project","output/results/europe_corrected_psd_prior_20260830/fitted_model/AM_Y40-59_M.rda","5d4920b95ad9a3afb29ddadc59df4a86396b0c3204a2af03e151fe558d3d4a9c",1592697,3000,483
"europe__europe__am__40-59__total","project","output/results/europe_corrected_psd_prior_20260830/fitted_model/AM_Y40-59_T.rda","dbbb34c6e75c7e191b659fa322a0de50472fca62453bab12fea9d23539e7368d",1754901,3000,483
"europe__europe__am__60-79__female","project","output/results/europe_corrected_psd_prior_20260830/fitted_model/AM_Y60-79_F.rda","3d97f6a164e17a25942f9243daad6bdd36a4af1a8507021fe7599f206049f191",1848133,3000,483
"europe__europe__am__60-79__male","project","output/results/europe_corrected_psd_prior_20260830/fitted_model/AM_Y60-79_M.rda","18f888c85eeb06b5530992f25ddc26c7a313398f8c61f4077202e9c16b27a101",1924839,3000,483
"europe__europe__am__60-79__total","project","output/results/europe_corrected_psd_prior_20260830/fitted_model/AM_Y60-79_T.rda","0510ee1eee35ea5807d6bb859f36ea36ba70bd9b701d4a3847e34d077028c42d",2211280,3000,483
"europe__europe__am__ge80__female","project","output/results/europe_corrected_psd_prior_20260830/fitted_model/AM_Y_GE80_F.rda","26f4376bea38a4e18b24cba450ce3fcc85e4ee9e79545881324f6aaf3014a3d5",2008859,3000,483
"europe__europe__am__ge80__male","project","output/results/europe_corrected_psd_prior_20260830/fitted_model/AM_Y_GE80_M.rda","f108250e8ca4a855668379a515645d3ff31d0c2b6424d28121a3d707126c6302",1808341,3000,483
"europe__europe__am__ge80__total","project","output/results/europe_corrected_psd_prior_20260830/fitted_model/AM_Y_GE80_T.rda","ebf5d13c1499240c126fb4cfef9631aba091d7916c914bb8b2e52e36d0c13c04",2248419,3000,483
"europe__europe__at__20-39__female","project","output/results/europe_corrected_psd_prior_20260830/fitted_model/AT_Y20-39_F.rda","78aa13a15b21ace9e00a0c9cb9acb923f73c18f8ae848d3434d49f3cc43c0347",2724889,3000,1266
"europe__europe__at__20-39__male","project","output/results/europe_corrected_psd_prior_20260830/fitted_model/AT_Y20-39_M.rda","f97ee19e182ffeb5d8a2cccbea9cf0d452cc47043031da229c7868fa930fd9ee",3273421,3000,1266
"europe__europe__at__20-39__total","project","output/results/europe_corrected_psd_prior_20260830/fitted_model/AT_Y20-39_T.rda","c1515f805c6fb63da764449feb937c0768e9a0efc8113ba4f556ddfb4be91dea",3493283,3000,1266
"europe__europe__at__40-59__female","project","output/results/europe_corrected_psd_prior_20260830/fitted_model/AT_Y40-59_F.rda","813a45d57005a5d9d35407b54040993322b9ef2899ee6a514889b20c9d8f0718",3684601,3000,1266
