"region","geography","geography_label","measurement_date","people_vaccinated_per_hundred","default_group"
"europe","AM","Armenia",2021-06-27,2.1,"low"
"europe","AT","Austria",2021-06-25,53.48,"high"
"europe","BE","Belgium",2021-07-01,63.15,"high"
"europe","BG","Bulgaria",2021-07-01,14.18,"low"
"europe","HR","Croatia",2021-06-29,36.94,"low"
"europe","CY","Cyprus",2021-06-30,51.62,"excluded"
"europe","CZ","Czechia",2021-07-01,48.82,"excluded"
"europe","DK","Denmark",2021-06-25,53.29,"high"
"europe","EE","Estonia",2021-07-01,42.34,"excluded"
"europe","FI","Finland",2021-06-27,58.28,"high"
"europe","FR","France",2021-07-01,51.37,"excluded"
"europe","DE","Germany",2021-07-01,57.06,"high"
"europe","EL","Greece",2021-07-01,47.03,"excluded"
"europe","HU","Hungary",2021-06-29,55.05,"high"
"europe","IS","Iceland",2021-07-01,69.69,"high"
"europe","IT","Italy",2021-07-01,58.79,"high"
"europe","LV","Latvia",2021-07-01,33.98,"low"
"europe","LI","Liechtenstein",2021-07-01,50.29,"excluded"
"europe","LT","Lithuania",2021-07-01,45.36,"excluded"
"europe","LU","Luxembourg",2021-07-01,53.08,"high"
"europe","MT","Malta",2021-07-01,67.57,"high"
"europe","ME","Montenegro",2021-07-01,24.09,"low"
"europe","NL","Netherlands",2021-06-25,52.02,"excluded"
"europe","NO","Norway",2021-07-01,51.21,"excluded"
"europe","PL","Poland",2021-07-01,42.58,"excluded"
"europe","PT","Portugal",2021-06-25,53.12,"high"
"europe","RO","Romania",2021-07-01,24.05,"low"
"europe","RS","Serbia",2021-06-20,39.21,"low"
"europe","SK","Slovakia",2021-06-27,36.55,"low"
"europe","SI","Slovenia",2021-07-01,39.74,"low"
"europe","ES","Spain",2021-07-01,54.56,"high"
"europe","SE","Sweden",2021-06-27,45.34,"excluded"
"europe","CH","Switzerland",2021-07-01,50.29,"excluded"
"us","Alabama","Alabama",2021-07-01,40.03,"low"
"us","Alaska","Alaska",2021-07-01,49.07,"excluded"
"us","Arizona","Arizona",2021-07-01,50.52,"excluded"
"us","Arkansas","Arkansas",2021-07-01,42.05,"excluded"
"us","California","California",2021-07-01,61.51,"excluded"
"us","Colorado","Colorado",2021-07-01,58.03,"excluded"
"us","Connecticut","Connecticut",2021-07-01,67.1,"high"
"us","Delaware","Delaware",2021-07-01,58.23,"excluded"
"us","District of Columbia","District of Columbia",2021-07-01,61.35,"excluded"
"us","Florida","Florida",2021-07-01,53.76,"excluded"
"us","Georgia","Georgia",2021-07-01,43.45,"excluded"
"us","Hawaii","Hawaii",2021-07-01,69.88,"high"
"us","Idaho","Idaho",2021-07-01,39.6,"low"
"us","Illinois","Illinois",2021-07-01,59.53,"excluded"
"us","Indiana","Indiana",2021-07-01,44.64,"excluded"
"us","Iowa","Iowa",2021-07-01,51.45,"excluded"
"us","Kansas","Kansas",2021-07-01,49.25,"excluded"
"us","Kentucky","Kentucky",2021-07-01,49.56,"excluded"
"us","Louisiana","Louisiana",2021-07-01,38.5,"low"
"us","Maine","Maine",2021-07-01,66.49,"high"
"us","Maryland","Maryland",2021-07-01,62.03,"high"
"us","Massachusetts","Massachusetts",2021-07-01,70.52,"high"
"us","Michigan","Michigan",2021-07-01,51.5,"excluded"
"us","Minnesota","Minnesota",2021-07-01,57.07,"excluded"
"us","Mississippi","Mississippi",2021-07-01,36.27,"low"
"us","Missouri","Missouri",2021-07-01,44.99,"excluded"
"us","Montana","Montana",2021-07-01,47.8,"excluded"
"us","Nebraska","Nebraska",2021-07-01,51.82,"excluded"
"us","Nevada","Nevada",2021-07-01,49.8,"excluded"
"us","New Hampshire","New Hampshire",2021-07-01,62.51,"high"
"us","New Jersey","New Jersey",2021-07-01,62.95,"high"
"us","New Mexico","New Mexico",2021-07-01,63.02,"high"
"us","New York","New York",2021-07-01,60.14,"excluded"
"us","North Carolina","North Carolina",2021-07-01,48.72,"excluded"
"us","North Dakota","North Dakota",2021-07-01,43.93,"excluded"
"us","Ohio","Ohio",2021-07-01,48.27,"excluded"
"us","Oklahoma","Oklahoma",2021-07-01,44.91,"excluded"
"us","Oregon","Oregon",2021-07-01,58.83,"excluded"
"us","Pennsylvania","Pennsylvania",2021-07-01,62.87,"high"
"us","Rhode Island","Rhode Island",2021-07-01,64.71,"high"
"us","South Carolina","South Carolina",2021-07-01,44.37,"excluded"
"us","South Dakota","South Dakota",2021-07-01,50.6,"excluded"
"us","Tennessee","Tennessee",2021-07-01,41.75,"low"
"us","Texas","Texas",2021-07-01,48.25,"excluded"
"us","Utah","Utah",2021-07-01,48.86,"excluded"
"us","Vermont","Vermont",2021-07-01,73.99,"high"
"us","Virginia","Virginia",2021-07-01,59.14,"excluded"
"us","Washington","Washington",2021-07-01,61.39,"excluded"
"us","West Virginia","West Virginia",2021-07-01,43.72,"excluded"
"us","Wisconsin","Wisconsin",2021-07-01,53.72,"excluded"
"us","Wyoming","Wyoming",2021-07-01,39.35,"low"
